frame,t_capture_ms,t_hsv_ms,t_search_ms,t_map_ms,fps,tier_wrist,tier_thumb,tier_index,n_markers
93,0.587,0.9539,3.0882,0.0409,169.77,1,1,2,3
94,0.6213,0.9644,3.1175,0.04,172.94,1,1,1,3
95,0.5862,1.0221,3.7809,0.0548,173.13,1,1,1,3
96,0.6506,1.1502,4.4535,0.0597,170.91,1,1,1,3
97,0.8541,1.3311,5.449,0.0349,166.36,1,1,1,3
98,0.6076,1.2277,6.2683,0.0415,161.68,1,1,0,2
99,0.6057,1.1194,4.9142,0.1018,159.74,1,1,0,2
100,0.586,1.0942,4.6719,0.0431,158.8,1,1,0,2
101,0.8739,1.2826,4.9657,0.0485,156.47,1,1,0,2
102,0.6569,1.7061,5.4015,0.0477,153.28,1,1,0,2
103,0.7252,0.9896,3.6958,0.048,155.58,1,1,0,2
104,0.6057,1.0396,3.771,0.0479,155.97,1,1,0,2
105,0.6339,0.9813,3.2936,0.0455,159.76,1,1,0,2
106,0.5967,1.0102,3.6915,0.0522,161.76,1,1,0,2
107,0.885,1.1376,3.9565,0.0442,161.53,1,1,0,2
108,0.6373,0.9684,3.6107,0.0423,163.72,1,1,0,2
109,0.6186,1.0497,3.6004,0.0433,165.46,1,1,0,2
110,0.5977,0.9618,3.5211,0.0876,167.38,1,1,0,2
111,0.5355,0.9603,3.7199,0.0441,168.98,1,1,0,2
112,0.6366,1.0809,3.9845,0.049,168.69,1,1,0,2
113,0.6832,1.1048,4.4327,0.0452,167.23,1,1,0,2
114,0.5826,0.9915,4.6112,0.0973,165.52,1,1,0,2
115,0.6092,1.2062,5.0968,0.0437,162.77,1,1,0,2
116,0.5433,1.0531,5.2286,0.0762,160.45,1,1,0,2
117,0.798,1.0453,5.8819,0.1028,156.64,1,1,0,2
118,0.8674,1.2931,5.8867,0.0441,152.82,1,1,0,2
119,0.5286,0.9444,4.0736,0.0533,153.27,1,1,0,2
120,0.9717,1.032,8.2416,0.0511,147.39,1,1,0,2
121,0.7942,1.1184,4.0941,0.0621,148.15,1,1,0,2
122,0.833,1.0721,4.5069,0.0514,148.21,1,1,0,2
123,0.6914,0.9925,3.5509,0.0455,151.58,1,1,0,2
124,0.577,0.9653,3.6422,0.0411,154.83,1,1,0,2
125,0.6342,1.1152,3.5935,0.0451,157.27,1,1,0,2
126,0.5126,1.0461,3.813,0.0456,159.34,1,1,0,2
127,0.6796,1.0634,4.8082,0.0347,158.14,1,1,0,2
128,0.5544,0.9647,3.6808,0.0442,160.69,1,1,0,2
129,0.5394,0.9574,3.8145,0.0441,162.61,1,1,0,2
130,0.7147,0.9752,3.6188,0.0436,164.38,1,1,0,2
131,0.5503,1.042,3.9383,0.0441,165.25,1,1,0,2
132,0.5724,1.0595,5.5274,0.0763,162.06,1,1,0,2
133,0.6863,1.2765,6.3205,0.0474,157.39,1,1,0,2
134,0.5,1.047,5.0861,0.0746,155.96,1,1,0,2
135,0.5851,1.1894,4.6791,0.0776,154.98,1,1,0,2
136,0.5756,1.1532,5.4583,0.0453,152.85,1,1,0,2
137,0.565,0.9528,4.2718,0.056,154.07,1,1,0,2
138,0.7995,1.2365,5.3726,0.0466,151.66,1,1,0,2
139,0.7169,1.001,3.6594,0.0489,152.56,1,1,0,2
140,0.6663,1.014,3.7867,0.0516,154.72,1,1,0,2
141,0.6175,0.9854,3.3005,0.0447,158.63,1,1,0,2
142,0.7004,0.9704,3.3896,0.0408,161.6,1,1,0,2
143,0.6136,0.9626,3.3766,0.042,164.6,1,1,0,2
144,0.539,0.9484,3.4817,0.0436,167.3,1,1,0,2
145,0.6117,1.0341,3.5156,0.0425,169.08,1,1,0,2
146,0.5321,0.9973,3.9091,0.052,169.71,1,1,0,2
147,1.0629,1.1012,3.9036,0.0426,168.44,1,1,0,2
148,0.5951,1.0036,3.5916,0.044,169.98,1,1,0,2
149,0.5726,0.9635,3.5818,0.0441,171.6,1,1,0,2
150,0.725,0.9919,4.8476,0.0511,168.96,1,1,0,2
151,0.5247,1.0201,5.1497,0.0705,166.28,1,1,0,2
152,0.5946,1.1283,4.7519,0.0758,164.08,1,1,0,2
153,0.5959,1.14,4.814,0.0754,162.12,1,1,0,2
154,0.6317,1.1745,5.4837,0.0405,158.76,1,1,0,2
155,0.5418,1.0021,3.4779,0.1188,161.13,1,1,0,2
156,1.1174,1.2782,5.8444,0.0526,156.44,1,1,0,2
157,1.5305,1.9681,4.372,0.0578,152.98,1,1,0,2
158,1.019,1.1076,4.8333,0.0589,151.38,1,1,0,2
159,0.974,1.1033,4.162,0.0432,150.1,1,1,0,2
160,0.6377,0.9692,3.5109,0.0409,153.57,1,1,0,2
161,0.584,1.0389,3.5503,0.0423,156.71,1,1,0,2
162,0.718,1.0396,3.5372,0.0418,159.07,1,1,0,2
163,0.558,1.006,3.8865,0.0483,160.68,1,1,0,2
164,0.5749,0.9575,3.5731,0.0444,163.18,1,1,0,2
165,0.6321,0.9724,3.6963,0.0417,164.9,1,1,0,2
166,0.5528,0.953,3.629,0.0438,167.04,1,1,0,2
167,0.6455,1.0418,3.5931,0.0416,168.48,1,1,0,2
168,0.6469,1.0041,4.8226,0.0733,166.38,1,1,0,2
169,0.6381,1.0786,5.107,0.0565,163.52,1,1,0,2
170,0.5758,1.1479,4.8212,0.0851,161.61,1,1,0,2
171,0.6022,1.1435,4.7361,0.0634,160.02,1,1,0,2
172,0.6187,1.1993,5.7667,0.0416,156.63,1,1,0,2
173,0.67,2.1621,3.5746,0.0457,155.99,1,1,0,2
174,0.9282,1.0555,6.1189,0.1076,151.06,1,1,0,2
175,1.3843,1.3256,5.5646,0.0533,147.46,1,1,0,2
176,1.3424,1.0223,3.2517,0.0455,149.68,1,1,2,3
177,0.9657,1.1084,4.216,0.0441,149.98,1,1,0,2
178,0.6317,1.0034,3.827,0.053,152.44,1,1,0,2
179,0.7395,1.2629,4.168,0.0406,152.71,1,1,0,2
180,0.5344,0.948,2.9445,0.0429,158.81,1,1,2,3
181,0.5656,0.995,2.9527,0.041,163.93,1,1,1,3
182,0.5474,0.9472,3.0368,0.0405,168.45,1,1,1,3
183,0.6508,1.0182,2.9975,0.0854,171.75,1,1,1,3
184,0.5438,0.9713,3.2435,0.0469,174.26,1,1,1,3
185,0.7532,1.0154,3.739,0.0395,174.15,1,1,1,3
186,0.5256,1.0127,4.601,0.0476,172.08,1,1,0,2
187,0.5703,1.0027,4.5462,0.114,170.17,1,1,0,2
188,0.6358,1.1195,4.9607,0.048,167.18,1,1,0,2
189,0.5081,1.0594,5.3405,0.0863,164.2,1,1,0,2
190,0.781,1.3414,5.8299,0.1045,159.67,1,1,0,2
191,0.7682,1.2551,5.193,0.0412,156.91,1,1,0,2
192,0.5568,0.9374,3.492,0.0583,160.25,1,1,2,3
193,0.9683,1.0779,4.996,0.0756,157.66,1,1,1,3
194,0.6724,0.9965,3.4718,0.0498,158.23,1,1,1,3
195,0.7795,1.0613,3.4179,0.0497,160.35,1,1,1,3
196,1.6466,1.0692,3.0573,0.0389,160.81,1,1,1,3
197,0.6287,0.9697,4.0338,0.042,161.78,1,1,0,2
198,0.6657,1.0063,3.4549,0.0537,164.02,1,1,0,2
199,0.63,0.9754,3.5404,0.0433,166.1,1,1,0,2
200,0.5373,1.0282,3.6627,0.0511,167.72,1,1,0,2
201,0.6064,1.0706,4.0063,0.0438,167.75,1,1,0,2
202,0.5625,0.9595,3.7078,0.04,169.28,1,1,0,2
203,0.575,1.0038,3.4524,0.0399,171.35,1,1,0,2
204,0.6395,0.9606,3.6315,0.0423,172.38,1,1,0,2
205,0.6143,0.9607,4.6506,0.0717,170.45,1,1,0,2
206,0.9221,1.1171,5.9114,0.1053,165.22,1,1,0,2
207,0.8899,1.4715,5.1147,0.0653,161.24,1,1,0,2
208,0.6402,1.1795,4.4675,0.0766,160.1,1,1,0,2
209,0.5802,1.1562,4.6988,0.0462,158.76,1,1,0,2
210,0.6049,1.8058,3.4458,0.0598,159.04,1,1,0,2
211,1.214,1.2767,7.4737,0.0738,152.73,1,1,0,2
212,0.6788,1.0988,3.0428,0.0464,156.78,1,1,2,3
213,0.744,0.9952,3.0164,0.0428,161.0,1,1,1,3
214,0.8075,0.9437,3.1751,0.0425,162.16,1,1,1,3
215,0.6136,0.9592,2.953,0.0481,166.81,1,1,1,3
216,0.6692,1.0426,3.4102,0.0476,168.65,1,1,1,3
217,0.6771,0.9955,3.5962,0.041,169.88,1,1,1,3
218,0.5488,0.9712,2.9893,0.0395,173.42,1,1,1,3
219,0.6679,1.0103,2.9949,0.0392,176.33,1,1,1,3
220,0.5934,0.9669,2.9771,0.0396,179.61,1,1,1,3
221,0.5512,1.006,3.1343,0.0395,181.88,1,1,1,3
222,0.5653,0.961,3.1563,0.0428,183.94,1,1,1,3
223,0.701,1.0328,3.8407,0.0408,182.33,1,1,1,3
224,0.5855,0.9919,5.9846,0.046,176.87,1,1,0,2
225,0.5424,1.063,5.0228,0.0768,173.52,1,1,0,2
226,0.6434,1.0866,4.8275,0.0735,170.5,1,1,0,2
227,0.6556,1.1858,4.8633,0.0979,167.49,1,1,0,2
228,1.0093,1.2668,6.6878,0.0436,161.49,1,1,0,2
229,0.516,0.9402,3.5942,0.0508,162.44,1,1,2,3
230,0.8634,1.0714,4.8884,0.0705,160.05,1,1,1,3
231,0.7293,1.0139,3.1332,0.0447,163.27,1,1,1,3
232,0.688,0.996,3.4171,0.0474,165.19,1,1,1,3
233,0.9782,1.1306,3.9379,0.0431,164.42,1,1,1,3
234,0.6172,0.9597,2.8868,0.0415,169.16,1,1,1,3
235,0.5935,0.9728,3.0727,0.0411,172.71,1,1,1,3
236,0.594,0.9685,2.893,0.0371,176.49,1,1,1,3
237,0.5505,1.0001,2.9094,0.0409,180.08,1,1,1,3
238,0.6669,0.9796,3.0399,0.0402,182.27,1,1,1,3
239,0.6025,0.9815,3.3672,0.0473,182.81,1,1,1,3
240,0.7138,1.2919,3.0694,0.038,183.22,1,1,1,3
241,0.5971,0.9587,4.3126,0.0423,181.27,1,1,0,2
242,0.5395,0.9556,3.5963,0.0463,181.84,1,1,0,2
243,0.6764,1.0217,4.8444,0.0491,178.29,1,1,0,2
244,0.5095,0.9699,5.4581,0.0744,174.2,1,1,0,2
245,0.7,1.2703,5.9391,0.104,168.73,1,1,0,2
246,0.7744,1.2829,4.8866,0.0764,165.4,1,1,0,2
247,0.593,1.1259,5.9955,0.0385,161.35,1,1,0,2
248,0.5393,0.9347,3.9325,0.0747,162.74,1,1,0,2
249,1.0762,1.2033,6.6461,0.0655,156.34,1,1,0,2
250,1.4002,1.0233,3.7113,0.043,156.21,1,1,0,2
251,0.6043,1.0663,3.7278,0.0465,157.89,1,1,0,2
252,0.6356,0.9834,3.3293,0.0461,161.33,1,1,0,2
253,0.5954,0.9638,3.42,0.0432,164.35,1,1,0,2
254,0.7833,1.0793,3.8903,0.0535,164.42,1,1,0,2
